,abbreviation,season,avg_player_height,lg,team,playoffs,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,opp_drb_percent,opp_ft_fga,arena,attend,attend_g
0,ATL,2012,199.86625,NBA,Atlanta Hawks,True,27.9,40.0,26.0,41.0,25.0,3.44,-0.77,2.67,104.9,101.2,3.7,90.2,0.259,0.249,0.535,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,Philips Arena,501593.0,15200.0
1,ATL,2013,200.50125,NBA,Atlanta Hawks,True,27.1,44.0,38.0,42.0,40.0,0.4,-0.48,-0.08,104.8,104.4,0.4,92.6,0.244,0.286,0.546,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181,Philips Arena,620146.0,15126.0
2,ATL,2014,200.66,NBA,Atlanta Hawks,True,27.5,38.0,44.0,40.0,42.0,-0.48,-0.4,-0.88,105.9,106.4,-0.5,94.6,0.266,0.316,0.554,0.515,14.3,21.0,0.208,0.51,14.0,74.4,0.196,Philips Arena,587927.0,14231.0
3,ATL,2015,201.33733333333333,NBA,Atlanta Hawks,True,27.8,60.0,22.0,56.0,26.0,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,Philips Arena,713909.0,17412.0
4,ATL,2016,200.5188888888889,NBA,Atlanta Hawks,True,28.2,48.0,34.0,51.0,31.0,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,Philips Arena,690150.0,16833.0
5,ATL,2017,199.7242105263158,NBA,Atlanta Hawks,True,27.9,43.0,39.0,39.0,43.0,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,Philips Arena,654306.0,15959.0
6,ATL,2018,202.63555555555556,NBA,Atlanta Hawks,False,25.4,24.0,58.0,27.0,55.0,-5.45,0.15,-5.3,105.0,110.6,-5.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,590769.0,14409.0
7,ATL,2019,200.23666666666668,NBA,Atlanta Hawks,False,25.1,29.0,53.0,27.0,55.0,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,State Farm Arena,628440.0,15328.0
8,ATL,2020,198.71764705882353,NBA,Atlanta Hawks,False,24.1,20.0,47.0,18.0,49.0,-7.97,0.27,-7.71,107.2,114.8,-7.6,103.0,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,State Farm Arena,545453.0,16043.0
9,ATL,2021,198.48285714285717,NBA,Atlanta Hawks,True,25.4,41.0,31.0,41.0,31.0,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,State Farm Arena,59288.0,1647.0
10,ATL,2022,198.96666666666667,NBA,Atlanta Hawks,True,26.1,43.0,39.0,45.0,37.0,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,0.543,10.8,23.0,0.205,0.543,11.5,76.9,0.177,State Farm Arena,672742.0,16408.0
