,abbreviation,season,avg_player_height
0,ATL,2020,198.71764705882353
1,ATL,2021,198.48285714285717
2,ATL,2022,198.96666666666667
3,BKN,2020,198.96666666666667
4,BKN,2021,198.12
5,BKN,2022,198.882
6,BOS,2020,200.09555555555553
7,BOS,2021,199.85181818181817
8,BOS,2022,200.8011111111111
9,CHA,2020,197.97058823529412
10,CHA,2021,200.06235294117647
11,CHA,2022,199.61411764705883
12,CHI,2020,199.31529411764706
13,CHI,2021,198.882
14,CHI,2022,198.86705882352942
15,CLE,2020,199.57142857142858
16,CLE,2021,198.92818181818183
17,CLE,2022,198.56823529411764
18,DAL,2020,200.66000000000003
19,DAL,2021,198.72476190476192
20,DAL,2022,197.63619047619045
21,DEN,2020,199.67222222222222
22,DEN,2021,196.977
23,DEN,2022,200.3425
24,DET,2020,198.41882352941175
25,DET,2021,197.612
26,DET,2022,199.45684210526315
27,GSW,2020,198.41882352941175
28,GSW,2021,196.37375
29,GSW,2022,196.92470588235295
30,HOU,2020,197.88909090909092
31,HOU,2021,196.5325
32,HOU,2022,200.49066666666667
33,IND,2020,198.78842105263158
34,IND,2021,196.08800000000002
35,IND,2022,198.12
36,LAC,2020,198.82555555555555
37,LAC,2021,199.39000000000001
38,LAC,2022,198.12
39,LAL,2020,200.66
40,LAL,2021,197.03142857142856
41,LAL,2022,198.4022222222222
42,MEM,2020,198.56823529411764
43,MEM,2021,199.04363636363635
44,MEM,2022,196.85000000000002
45,MIA,2020,200.36117647058822
46,MIA,2021,197.75714285714284
47,MIA,2022,199.46470588235294
48,MIL,2020,198.65473684210528
49,MIL,2021,198.11999999999998
50,MIL,2022,200.5188888888889
51,MIN,2020,197.96125
52,MIN,2021,197.3729411764706
53,MIN,2022,199.10777777777778
54,NOP,2020,199.10777777777778
55,NOP,2021,197.41444444444446
56,NOP,2022,199.7075
57,NYK,2020,198.59625
58,NYK,2021,197.5152380952381
59,NYK,2022,197.96125
60,OKC,2020,199.10777777777778
61,OKC,2021,199.78076923076924
62,OKC,2022,200.025
63,ORL,2020,196.50363636363636
64,ORL,2021,200.05523809523808
65,ORL,2022,202.15411764705883
66,PHI,2020,199.20857142857145
67,PHI,2021,199.59052631578948
68,PHI,2022,198.96666666666667
69,PHX,2020,197.00875
70,PHX,2021,198.23545454545456
71,PHX,2022,198.4375
72,POR,2020,198.62800000000001
73,POR,2021,196.63833333333332
74,POR,2022,199.3295238095238
75,SAC,2020,199.85789473684213
76,SAC,2021,200.279
77,SAC,2022,199.898
78,SAS,2020,198.56823529411764
79,SAS,2021,198.54333333333335
80,SAS,2022,199.57142857142858
81,TOR,2020,199.2488888888889
82,TOR,2021,199.77100000000002
83,TOR,2022,200.09555555555553
84,UTA,2020,198.26941176470586
85,UTA,2021,198.755
86,UTA,2022,201.29500000000002
87,WAS,2020,200.09555555555553
88,WAS,2021,198.00956521739133
89,WAS,2022,199.517
